environment,buyer_id,n_tasks,n_trials,n_attacks,model_id,harmful_accept,harmful_accept_lo,harmful_accept_hi,valid_accept,valid_accept_lo,valid_accept_hi,missed_opportunity,missed_opportunity_lo,missed_opportunity_hi,regret_norm,regret_norm_lo,regret_norm_hi,accepted,accepted_lo,accepted_hi,mean_latency_s,mean_token_out
AmazonHistoryPrice,oracle,463,3241,7,scripted,0.0,0.0,0.0,0.6954643628509719,0.6544276457883369,0.7365010799136069,0.0,0.0,0.0,0.0,0.0,0.0,0.6954643628509719,0.6544276457883369,0.7365010799136069,,
AmazonHistoryPrice,robust_gate,463,3241,7,scripted,0.012033323048441838,0.007096575131132366,0.017895711200246835,0.6800370256093798,0.6396174020364086,0.7223156433199629,0.0154273372415921,0.007405121875964209,0.024992286331379204,0.0007731930915458192,0.000493418817705955,0.0011060656188329218,0.6920703486578217,0.6531934588090096,0.7334156124652884,,
AmazonHistoryPrice,conservative,463,3241,7,scripted,0.019129898179574202,0.012650416538105521,0.02622647331070657,0.6939216291268128,0.6531934588090096,0.7358839864239433,0.00154273372415921,0.0,0.003401727861770946,0.0012533843976550447,0.0008248854757381982,0.0017413326975809934,0.713051527306387,0.6747840172786177,0.7534711508793583,,
AmazonHistoryPrice,dro_fixed,463,3241,7,scripted,0.04597346497994446,0.035174328910829986,0.0580067880283863,0.6837395865473619,0.6427028694847269,0.726627584078988,0.011724776303609998,0.004936747917309472,0.020055538414069735,0.004718252516784943,0.003733300342119716,0.005752652699412217,0.7297130515273064,0.693304535637149,0.7670472076519592,,
AmazonHistoryPrice,claimed_eu,463,3241,7,scripted,0.05337858685590867,0.04134526380746683,0.06695464362850972,0.6954643628509719,0.6544276457883369,0.7365010799136069,0.0,0.0,0.0,0.00532411591425486,0.004216935324949861,0.0064930985579265636,0.7488429497068805,0.7133523603825979,0.785251465597038,,
AmazonHistoryPrice,verify_then_decide,463,3241,7,scripted,0.001851280468991052,0.0,0.004319654427645788,0.28725701943844495,0.24622030237580994,0.3282937365010799,0.408207343412527,0.3650107991360691,0.4514038876889849,0.11594179731912989,0.10009020356175023,0.13265243063020826,0.289108299907436,0.24838012958963282,0.3301450169700709,,
CraigslistBargain,oracle,2605,18235,7,scripted,0.0,0.0,0.0,0.4214971209213052,0.40307101727447214,0.44069097888675623,0.0,0.0,0.0,0.0,0.0,0.0,0.4214971209213052,0.40307101727447214,0.44069097888675623,,
CraigslistBargain,robust_gate,2605,18235,7,scripted,0.026706882369070463,0.02352618590622429,0.029998629010145304,0.400877433506992,0.38283520701946805,0.4197449958870304,0.02061968741431313,0.01656155744447491,0.024897175760899372,0.0016470708434713464,0.0014368150470595012,0.0018642790784633946,0.42758431587606255,0.4099259665478476,0.4460666301069372,,
CraigslistBargain,conservative,2605,18235,7,scripted,0.03701672607622703,0.033286262681656145,0.040855497669317245,0.4199067726898821,0.40164381683575545,0.4392665204277488,0.0015903482314230872,0.0008774335069920482,0.0023581025500411293,0.0022301287271510833,0.00196203218853921,0.0025023470403387716,0.4569234987661091,0.4391540992596655,0.47578969015629285,,
CraigslistBargain,llm_direct_gpt5mini,200,1400,7,gpt-5-mini,0.08214285714285713,0.06069642857142856,0.10642857142857143,0.4164285714285715,0.34785714285714286,0.485,0.003571428571428571,0.0,0.009285714285714284,0.006848001401142858,0.005162559730098214,0.008623634042871425,0.4985714285714286,0.4378392857142857,0.5614285714285714,8.877854453665787,782.0221428571429
CraigslistBargain,dro_fixed,2605,18235,7,scripted,0.08412393748286262,0.07787222374554428,0.09054017000274198,0.4053742802303263,0.3872772141486153,0.42440499040307095,0.016122840690978888,0.012448587880449682,0.020017822868110755,0.00795379672883466,0.007438403333931862,0.008507527920045792,0.4894982177131889,0.4729901288730463,0.5069934192486976,,
CraigslistBargain,claimed_eu,2605,18235,7,scripted,0.09723060049355632,0.09032081162599397,0.10425006854949273,0.4214971209213052,0.40307101727447214,0.44069097888675623,0.0,0.0,0.0,0.009094886551417604,0.008514092890802443,0.009700817850842335,0.5187277214148615,0.5020537428023032,0.5366616397038662,,
CraigslistBargain,llm_direct_gemma4,200,1400,7,gemma4:31b,0.041428571428571426,0.026428571428571423,0.05928571428571428,0.28714285714285714,0.23,0.3457142857142857,0.13285714285714284,0.09357142857142858,0.175,0.014904129344714287,0.010371699405930357,0.020104845056858927,0.3285714285714285,0.2735535714285714,0.3842857142857143,7.743875108956714,52.07642857142857
CraigslistBargain,llm_gate,401,2807,7,qwen3.6:35b-a3b,0.05379408621303883,0.036693979337370855,0.07231920199501247,0.2764517278232989,0.2361952262201639,0.3177858924118275,0.11756323477021732,0.08976665479159245,0.14570716066975417,0.01536724266943356,0.011641999911437478,0.019315506295763275,0.3302458140363377,0.2892768079800499,0.3705023156394728,0.9181482195629498,16.437833986462415
CraigslistBargain,llm_direct_gptoss,200,1400,7,gpt-oss:20b,0.09857142857142856,0.07428571428571427,0.1257142857142857,0.3678571428571428,0.3057142857142857,0.4292857142857143,0.05214285714285714,0.036428571428571435,0.06857142857142856,0.015538542978714287,0.012671757696016072,0.018518173258558927,0.4664285714285714,0.4121428571428571,0.5214285714285714,4.513828862906,210.97925608011445
CraigslistBargain,llm_gate_urgency_coupled,401,2807,7,qwen3.6:35b-a3b,0.05201282508015674,0.03705023156394727,0.0687566797292483,0.27039543997149984,0.23156394727467047,0.31029568934805846,0.12361952262201638,0.09583184894905594,0.15105094406840042,0.015907662112112576,0.012404791062714644,0.019614623656781262,0.32240826505165654,0.2839330245814036,0.36195226220163873,0.9171344868674387,16.356608478802993
CraigslistBargain,llm_safety_gptoss,200,1400,7,gpt-oss:20b,0.06,0.04285714285714286,0.07857142857142857,0.26499999999999996,0.215,0.3171607142857141,0.155,0.11928571428571427,0.1935714285714286,0.02803999736764286,0.021425743281323215,0.035575281070935716,0.325,0.27714285714285714,0.37428571428571433,4.602233547143,215.53414809489576
CraigslistBargain,llm_safety_gemma4,200,1400,7,gemma4:31b,0.0,0.0,0.0,0.115,0.07785714285714286,0.155,0.305,0.24642857142857139,0.365,0.039439197380357144,0.029330859783010716,0.05049793910862321,0.115,0.07785714285714286,0.155,8.074033209426501,53.982142857142854
CraigslistBargain,verify_then_decide,2605,18235,7,scripted,0.0027968193035371536,0.0018097066081710993,0.003838771593090211,0.15969289827255279,0.14587332053742802,0.17389635316698657,0.2618042226487524,0.2452975047984645,0.27908829174664096,0.04006939672394297,0.03674800146770167,0.04350009101912092,0.16248971757608993,0.1483945708801755,0.17663970386619135,,
CraigslistBargain,llm_safety_gpt5mini,200,1400,7,gpt-5-mini,0.0007142857142857143,0.0,0.0021428571428571425,0.14357142857142857,0.10357142857142858,0.185,0.27642857142857147,0.22214285714285714,0.3342857142857143,0.04022383512428572,0.029462167684612496,0.051965703974921416,0.1442857142857143,0.10428571428571427,0.18642857142857142,11.247681269985357,1044.31
