environment,method,regret,HAR,valid,coverage,cov_lo,cov_hi,mean_eps
CraigslistBargain,paper: additive eps(m),0.0016470708435512287,0.02670688236907047,0.40087743350699206,0.7479023855223471,0.7420331779544832,0.7534425555250891,0.0289813996587393
CraigslistBargain,best fixed radius (eps=0.040),0.0018094025275040815,0.02615848642720044,0.3888127227858514,0.7594735398958048,0.7535494927337538,0.765505895256375,0.039999999999999994
CraigslistBargain,"learned eps(m), uncalibrated",0.0013660291802728903,0.016780915821222923,0.3966547847545928,0.7234987661091308,0.7145585412667945,0.7322182615848641,0.03840439364685717
CraigslistBargain,"conformal eps(m), alpha=0.20",0.0013660291802728903,0.016780915821222923,0.3966547847545928,0.7952289553057308,0.7885371538250616,0.8015368796270907,0.0384710603135238
CraigslistBargain,"conformal eps(m), alpha=0.10",0.0026307600078118607,0.008390457910611462,0.3468055936386071,0.8946531395667672,0.8888922401974224,0.9000274197970934,0.09783780281652033
CraigslistBargain,"conformal eps(m), alpha=0.05",0.004911035145094087,0.003783931998903208,0.308637236084453,0.9394022484233616,0.9350150808884015,0.9436248971757608,0.1461716572785255
CraigslistBargain,ORACLE radius (not deployable),0.00017171760790303322,0.0,0.41381957773512473,1.0,1.0,1.0,0.03740272062516257
AmazonHistoryPrice,paper: additive eps(m),0.0007731930915092801,0.01203332304844184,0.6800370256093798,0.759950632520827,0.7463745757482257,0.7741437827830915,0.028512724844832568
AmazonHistoryPrice,best fixed radius (eps=0.045),0.0008702248052188818,0.01203332304844184,0.675717371181734,0.7796976241900648,0.7648873804381363,0.7941993211971613,0.045
AmazonHistoryPrice,"learned eps(m), uncalibrated",0.0009135036706724531,0.008639308855291577,0.6751002776920704,0.6988583770441222,0.67170626349892,0.7254011107682813,0.04136966719054624
AmazonHistoryPrice,"conformal eps(m), alpha=0.20",0.0009135036706724531,0.008639308855291577,0.6751002776920704,0.8111693921629127,0.7957420549213204,0.825979635914841,0.04159494320622996
AmazonHistoryPrice,"conformal eps(m), alpha=0.10",0.0012026293699037708,0.005245294662141314,0.6609071274298056,0.8719531008947856,0.8574436902190682,0.8858454180808393,0.08218511877472405
AmazonHistoryPrice,"conformal eps(m), alpha=0.05",0.002155265908383013,0.004011107682813947,0.6411601357605677,0.9052761493366245,0.890774452329528,0.9188522061092256,0.11192262751519906
AmazonHistoryPrice,ORACLE radius (not deployable),0.00019446767254173563,0.0009256402344955261,0.6892934279543351,1.0,1.0,1.0,0.035443118988362915
DealOrNoDeal,paper: additive eps(m),0.01021209740769835,0.056402199528672425,0.3519245875883739,0.6172820109976433,0.608012568735271,0.627336999214454,0.01989990954602133
DealOrNoDeal,best fixed radius (eps=0.005),0.01021209740769835,0.056402199528672425,0.3519245875883739,0.6172820109976433,0.608012568735271,0.627336999214454,0.004999999999999998
DealOrNoDeal,"learned eps(m), uncalibrated",0.01011783189316575,0.04509033778476041,0.30809112333071487,0.6612725844461901,0.6504320502749411,0.672274155538099,0.10135503549683479
DealOrNoDeal,"conformal eps(m), alpha=0.20",0.012144540455616656,0.01382560879811469,0.1600942655145326,0.827808326787117,0.8157109190887668,0.8400628436763551,0.21105546345690043
DealOrNoDeal,"conformal eps(m), alpha=0.10",0.020502749410840536,0.0017282010997643363,0.03126472898664572,0.950981932443048,0.9439120188531028,0.9578986645718776,0.3110554634569005
DealOrNoDeal,"conformal eps(m), alpha=0.05",0.020581304006284367,0.0015710919088766694,0.029536527886881384,0.9567949725058916,0.9501963864886095,0.963236449332286,0.3175315060850734
DealOrNoDeal,ORACLE radius (not deployable),0.0,0.0,0.5310290652003142,1.0,1.0,1.0,0.1053260015710919
