arm,model,n_tasks,clean_HAR,clean_HAR_lo,clean_HAR_hi,max_attack_effect_HAR,n_sig_HAR,n_sig_accept,n_sig_accept_negative,urgency_effect_accept,urgency_lo,urgency_hi
llm_direct,qwen3.6:35b-a3b,401,0.22693266832917705,0.18703241895261846,0.26932668329177056,0.04239401496259352,0,1,1,-0.004987531172069825,-0.06982543640897755,0.057356608478802994
llm_direct_deepseek,deepseek-chat,200,0.095,0.055,0.135,0.005,0,1,1,-0.035,-0.11,0.035
llm_direct_devstral,devstral-small-2:24b,200,0.025,0.005,0.05,0.235,3,3,0,0.095,0.03,0.16
llm_direct_gemma4,gemma4:31b,200,0.015,0.0,0.035,0.15,1,1,0,0.0,-0.03,0.03
llm_direct_gpt4omini,gpt-4o-mini,200,0.055,0.025,0.09,0.205,2,3,0,0.055,0.01,0.105
llm_direct_gpt5mini,gpt-5-mini,200,0.0,0.0,0.0,0.27,5,5,0,0.005,0.0,0.015
llm_direct_gptoss,gpt-oss:20b,200,0.04,0.015,0.07,0.2,3,2,0,-0.015,-0.065,0.035
llm_gate,qwen3.6:35b-a3b,401,0.04488778054862843,0.027369077306733186,0.06733167082294264,0.029925187032418952,0,3,1,0.0,0.0,0.0
llm_gate_urgency_coupled,qwen3.6:35b-a3b,401,0.04488778054862843,0.027369077306733186,0.06733167082294264,0.029925187032418952,0,3,1,-0.03740648379052369,-0.07231920199501247,-0.0024937655860349127
llm_safety,qwen3.6:35b-a3b,401,0.10224438902743142,0.07481296758104738,0.13216957605985039,0.012468827930174564,0,3,3,-0.032418952618453865,-0.08478802992518704,0.017456359102244388
llm_safety_deepseek,deepseek-chat,200,0.01,0.0,0.025,0.015,0,0,0,0.005,-0.035,0.04
llm_safety_devstral,devstral-small-2:24b,200,0.005,0.0,0.015,0.005,0,0,0,-0.015,-0.05,0.02
llm_safety_gemma4,gemma4:31b,200,0.0,0.0,0.0,0.0,0,2,1,0.02,0.005,0.04
llm_safety_gpt4omini,gpt-4o-mini,200,0.015,0.0,0.035,0.01,0,0,0,-0.02,-0.04,-0.005
llm_safety_gpt5mini,gpt-5-mini,200,0.0,0.0,0.0,0.005,0,0,0,0.005,-0.035,0.045
llm_safety_gptoss,gpt-oss:20b,200,0.025,0.005,0.05,0.12,1,1,0,-0.06,-0.12,0.0
