buyer_id,corr_accept_surplus,accept_given_good,accept_given_bad,discrimination_gap,frac_tasks_decision_varies_by_rendering,n_tasks
claimed_eu,0.8141427146261503,1.0,0.0,1.0,0.32629558541266795,2605
oracle,0.8141427146261503,1.0,0.0,1.0,0.0,2605
conservative,0.8141427146261503,1.0,0.0,1.0,0.14088291746641074,2605
llm_direct_gpt5mini,0.8017724688793771,0.9761904761904762,0.0,0.9761904761904762,0.285,200
robust_gate,0.8107355880301576,0.9581056466302368,0.0,0.9581056466302368,0.145489443378119,2605
dro_fixed,0.8076507657534832,0.9271402550091075,0.0,0.9271402550091075,0.33128598848368523,2605
llm_direct_gptoss,0.7013137620461551,0.8571428571428571,0.06896551724137931,0.7881773399014778,0.545,200
llm_safety_gptoss,0.6188867623887713,0.6666666666666666,0.04310344827586207,0.6235632183908045,0.51,200
llm_gate,0.6608132684548731,0.6835443037974683,0.07407407407407407,0.6094702297233943,0.26433915211970077,401
llm_gate_urgency_coupled,0.6608132684548731,0.6835443037974683,0.07407407407407407,0.6094702297233943,0.3316708229426434,401
llm_direct_gemma4,0.6533535303735128,0.5952380952380952,0.02586206896551724,0.569376026272578,0.35,200
verify_then_decide,0.42017371766300005,0.3788706739526412,0.0,0.3788706739526412,0.011516314779270634,2605
llm_safety_gpt5mini,0.4548553324066986,0.34523809523809523,0.0,0.34523809523809523,0.205,200
llm_direct_deepseek,0.3339817785542354,0.42857142857142855,0.16379310344827586,0.2647783251231527,0.67,200
llm_safety_gemma4,0.4527050219859874,0.2619047619047619,0.0,0.2619047619047619,0.135,200
llm_direct_devstral,0.3437777411449444,0.2976190476190476,0.04310344827586207,0.2545155993431856,0.745,200
llm_direct,0.2806258367321488,0.5759493670886076,0.37448559670781895,0.2014637703807886,0.8952618453865336,401
llm_safety,0.24368214261351454,0.33544303797468356,0.16872427983539096,0.1667187581392926,0.6209476309226932,401
llm_safety_deepseek,0.20290115649892612,0.09523809523809523,0.017241379310344827,0.0779967159277504,0.15,200
llm_safety_devstral,0.1831999378347764,0.08333333333333333,0.008620689655172414,0.07471264367816091,0.13,200
llm_direct_gpt4omini,0.12434619667798072,0.14285714285714285,0.09482758620689655,0.0480295566502463,0.485,200
llm_safety_gpt4omini,0.10990200288692893,0.047619047619047616,0.02586206896551724,0.021756978653530375,0.065,200
