arm,agent_id,tick,thread_id,offer_usd,list_price_usd,category,joined,thread_post_fork,offer_ratio
baseline,1,402,4658,250.0,280.0,electronics-phones,True,True,0.8928571428571429
baseline,1,422,4714,280.0,300.0,electronics-phones,True,True,0.9333333333333333
baseline,1,425,4713,260.0,280.0,electronics-phones,True,True,0.9285714285714286
baseline,1,426,4719,230.0,265.0,electronics-phones,True,True,0.8679245283018868
baseline,1,427,4714,280.0,300.0,electronics-phones,True,True,0.9333333333333333
baseline,1,427,4719,230.0,265.0,electronics-phones,True,True,0.8679245283018868
baseline,1,432,4713,260.0,280.0,electronics-phones,True,True,0.9285714285714286
baseline,1,437,4713,260.0,280.0,electronics-phones,True,True,0.9285714285714286
baseline,6,377,4628,0.15,18.0,home-goods,True,True,0.008333333333333333
baseline,21,403,4584,0.42,45.0,electronics-cameras,True,False,0.009333333333333332
baseline,21,404,4584,42.0,45.0,electronics-cameras,True,False,0.9333333333333333
baseline,21,406,4584,42.0,45.0,electronics-cameras,True,False,0.9333333333333333
baseline,26,383,4638,20.0,25.0,electronics-cameras,True,True,0.8
baseline,26,447,4740,20.0,25.0,electronics-cameras,True,True,0.8
baseline,31,406,4674,45.0,55.0,electronics-phones,True,True,0.8181818181818182
baseline,31,413,4674,45.0,55.0,electronics-phones,True,True,0.8181818181818182
baseline,31,413,4539,60.0,60.0,electronics-phones,True,False,1.0
baseline,31,416,4706,25.0,28.0,electronics-phones,True,True,0.8928571428571429
baseline,31,417,4708,10.0,12.0,electronics-phones,True,True,0.8333333333333334
baseline,31,421,4715,20.0,25.0,electronics-phones,True,True,0.8
baseline,31,451,4742,50.0,60.0,electronics-phones,True,True,0.8333333333333334
baseline,36,401,4654,35.0,45.0,electronics-phones,True,True,0.7777777777777778
baseline,36,428,4721,0.2,25.0,electronics-phones,True,True,0.008
baseline,36,428,4722,0.1,12.0,electronics-phones,True,True,0.008333333333333333
baseline,36,428,4723,0.45,55.0,electronics-phones,True,True,0.008181818181818182
baseline,41,373,4609,7.0,8.0,home-goods,True,False,0.875
baseline,41,375,4609,7.0,8.0,home-goods,True,False,0.875
baseline,41,378,4630,8.0,10.0,electronics-audio,True,True,0.8
baseline,41,392,4644,3.84,4.0,home-goods,True,True,0.96
baseline,41,393,4647,5.0,10.0,home-goods,True,True,0.5
baseline,41,393,4648,4.0,8.0,home-goods,True,True,0.5
baseline,41,408,4670,3.84,4.0,home-goods,True,True,0.96
baseline,41,408,4650,3.84,4.0,home-goods,True,True,0.96
baseline,41,408,4648,5.5,8.0,home-goods,True,True,0.6875
baseline,41,413,4702,10.0,15.0,home-goods,True,True,0.6666666666666666
baseline,41,414,4704,10.0,15.0,home-goods,True,True,0.6666666666666666
baseline,41,415,4702,12.0,15.0,home-goods,True,True,0.8
baseline,41,417,4702,12.0,15.0,home-goods,True,True,0.8
baseline,41,420,4702,13.0,15.0,home-goods,True,True,0.8666666666666667
baseline,41,422,4702,13.0,15.0,home-goods,True,True,0.8666666666666667
baseline,41,425,4648,5.5,8.0,home-goods,True,True,0.6875
baseline,41,425,4702,13.0,15.0,home-goods,True,True,0.8666666666666667
baseline,41,428,4648,5.5,8.0,home-goods,True,True,0.6875
baseline,41,428,4702,13.0,15.0,home-goods,True,True,0.8666666666666667
baseline,41,430,4648,5.5,8.0,home-goods,True,True,0.6875
baseline,41,430,4702,13.0,15.0,home-goods,True,True,0.8666666666666667
baseline,41,433,4648,6.0,8.0,home-goods,True,True,0.75
baseline,41,435,4648,5.5,8.0,home-goods,True,True,0.6875
baseline,41,439,4648,6.0,8.0,home-goods,True,True,0.75
baseline,41,441,4648,6.5,8.0,home-goods,True,True,0.8125
baseline,41,455,4648,6.5,8.0,home-goods,True,True,0.8125
baseline,41,456,4704,12.0,15.0,home-goods,True,True,0.8
baseline,46,390,4643,0.05,7.0,electronics-phones,True,True,0.0071428571428571435
baseline,46,401,4655,38.0,45.0,electronics-phones,True,True,0.8444444444444444
baseline,46,416,4707,10.0,12.0,electronics-phones,True,True,0.8333333333333334
baseline,51,379,4631,15.0,18.0,home-goods,True,True,0.8333333333333334
