buyer_agent_id,accept_tick,final_price_cents,market_baseline_cents,market_premium,arm,agent_id,price_usd,premium_usd,logged_agent
1,373,4000,18567,-14567,baseline,1,40.0,-145.67,True
27,374,5200,26281,-21081,baseline,27,52.0,-210.81,False
47,375,800,16565,-15765,baseline,47,8.0,-157.65,False
38,375,3400,26478,-23078,baseline,38,34.0,-230.78,False
73,375,14500,18567,-4067,baseline,73,145.0,-40.67,False
61,376,3900,16565,-12665,baseline,61,39.0,-126.65,True
86,377,1400,5989,-4589,baseline,86,14.0,-45.89,True
22,378,11000,18650,-7650,baseline,22,110.0,-76.5,False
6,379,5300,16565,-11265,baseline,6,53.0,-112.65,True
6,379,3400,16565,-13165,baseline,6,34.0,-131.65,True
41,380,900,5989,-5089,baseline,41,9.0,-50.89,True
62,382,600,18589,-17989,baseline,62,6.0,-179.89,False
62,382,800,18589,-17789,baseline,62,8.0,-177.89,False
97,383,700,18589,-17889,baseline,97,7.0,-178.89,False
50,386,5000,26920,-21920,baseline,50,50.0,-219.2,False
67,387,4300,26616,-22316,baseline,67,43.0,-223.16,False
38,389,5200,26920,-21720,baseline,38,52.0,-217.2,False
59,392,2400,6016,-3616,baseline,59,24.0,-36.16,False
29,392,9000,29256,-20256,baseline,29,90.0,-202.56,False
80,392,5600,6016,-416,baseline,80,56.0,-4.16,False
48,393,384,16637,-16253,baseline,48,3.84,-162.53,False
35,393,2300,16062,-13762,baseline,35,23.0,-137.62,False
43,400,9000,29256,-20256,baseline,43,90.0,-202.56,False
42,401,1300,6016,-4716,baseline,42,13.0,-47.16,False
18,401,2700,16784,-14084,baseline,18,27.0,-140.84,False
87,401,800,6016,-5216,baseline,87,8.0,-52.16,False
55,402,6800,29547,-22747,baseline,55,68.0,-227.47,False
55,403,8000,29547,-21547,baseline,55,80.0,-215.47,False
55,403,8000,29547,-21547,baseline,55,80.0,-215.47,False
55,403,9000,29547,-20547,baseline,55,90.0,-205.47,False
66,403,12600,18685,-6085,baseline,66,126.0,-60.85,True
66,403,4000,18685,-14685,baseline,66,40.0,-146.85,True
90,403,1455,16721,-15266,baseline,90,14.55,-152.66,False
66,403,10700,18685,-7985,baseline,66,107.0,-79.85,True
24,404,2800,16858,-14058,baseline,24,28.0,-140.58,False
90,405,1400,16656,-15256,baseline,90,14.0,-152.56,False
90,406,2800,16585,-13785,baseline,90,28.0,-137.85,False
49,406,3300,16390,-13090,baseline,49,33.0,-130.9,False
23,412,1000,18633,-17633,baseline,23,10.0,-176.33,False
36,412,4000,18633,-14633,baseline,36,40.0,-146.33,True
66,413,11000,18633,-7633,baseline,66,110.0,-76.33,True
77,413,5200,18633,-13433,baseline,77,52.0,-134.33,False
69,417,2200,5485,-3285,baseline,69,22.0,-32.85,False
69,420,1500,5485,-3985,baseline,69,15.0,-39.85,False
1,431,23000,18655,4345,baseline,1,230.0,43.45,True
19,432,28000,18655,9345,baseline,19,280.0,93.45,False
41,432,1300,16388,-15088,baseline,41,13.0,-150.88,True
71,433,11000,30794,-19794,baseline,71,110.0,-197.94,True
13,437,1920,18655,-16735,baseline,13,19.2,-167.35,False
71,439,22000,30794,-8794,baseline,71,220.0,-87.94,True
61,440,4200,16388,-12188,baseline,61,42.0,-121.88,True
61,440,1400,16388,-14988,baseline,61,14.0,-149.88,True
36,443,5300,18655,-13355,baseline,36,53.0,-133.55,True
19,449,26000,18721,7279,baseline,19,260.0,72.79,False
77,449,6000,18721,-12721,baseline,77,60.0,-127.21,False
31,450,2700,18676,-15976,baseline,31,27.0,-159.76,True
31,450,5300,18676,-13376,baseline,31,53.0,-133.76,True
75,456,1150,6068,-4918,baseline,75,11.5,-49.18,False
1,373,4000,18567,-14567,pressure,1,40.0,-145.67,True
86,376,1400,5989,-4589,pressure,86,14.0,-45.89,True
38,376,52,26478,-26426,pressure,38,0.52,-264.26,False
52,377,960,18567,-17607,pressure,52,9.6,-176.07,False
42,378,1300,5989,-4689,pressure,42,13.0,-46.89,False
86,382,2200,6017,-3817,pressure,86,22.0,-38.17,True
