model_id,form,attack_id,n_tasks,effect,effect_lo,effect_hi
devstral-small-2:24b,json,combined,100,0.24,0.15,0.34
devstral-small-2:24b,prose,combined,100,0.1,0.01,0.19
devstral-small-2:24b,prose_minus_json,combined,100,-0.14,-0.23,-0.06
devstral-small-2:24b,json,contract_complexity,100,0.02,-0.03,0.08
devstral-small-2:24b,prose,contract_complexity,100,0.06,-0.01,0.14
devstral-small-2:24b,prose_minus_json,contract_complexity,100,0.04,-0.04,0.12
devstral-small-2:24b,json,selective_disclosure,100,0.04,0.0,0.09
devstral-small-2:24b,prose,selective_disclosure,100,0.07,0.0,0.14
devstral-small-2:24b,prose_minus_json,selective_disclosure,100,0.03,-0.04,0.09
devstral-small-2:24b,json,state_misrepresentation,100,0.03,-0.03,0.09
devstral-small-2:24b,prose,state_misrepresentation,100,0.07,0.0,0.14
devstral-small-2:24b,prose_minus_json,state_misrepresentation,100,0.04,-0.03,0.11
devstral-small-2:24b,json,tail_incentive,100,0.09,0.02,0.17
devstral-small-2:24b,prose,tail_incentive,100,0.06,-0.02,0.14
devstral-small-2:24b,prose_minus_json,tail_incentive,100,-0.03,-0.11,0.05
devstral-small-2:24b,json,temporal_pressure,100,0.12,0.05,0.19
devstral-small-2:24b,prose,temporal_pressure,100,0.06,-0.01,0.13
devstral-small-2:24b,prose_minus_json,temporal_pressure,100,-0.06,-0.14,0.02
devstral-small-2:24b,json,clean,100,0.03,,
devstral-small-2:24b,prose,clean,100,0.07,,
gpt-4o-mini,json,combined,200,0.11,0.065,0.16
gpt-4o-mini,prose,combined,200,0.01,-0.035,0.05512500000000046
gpt-4o-mini,prose_minus_json,combined,200,-0.1,-0.16,-0.04
gpt-4o-mini,json,contract_complexity,200,0.01,-0.02,0.04
gpt-4o-mini,prose,contract_complexity,200,-0.03,-0.075,0.015
gpt-4o-mini,prose_minus_json,contract_complexity,200,-0.04,-0.09,0.010125000000000455
gpt-4o-mini,json,selective_disclosure,200,0.02,-0.01,0.05
gpt-4o-mini,prose,selective_disclosure,200,-0.015,-0.055,0.025
gpt-4o-mini,prose_minus_json,selective_disclosure,200,-0.035,-0.085,0.010125000000000455
gpt-4o-mini,json,state_misrepresentation,200,0.015,-0.01,0.04
gpt-4o-mini,prose,state_misrepresentation,200,-0.02,-0.06,0.02
gpt-4o-mini,prose_minus_json,state_misrepresentation,200,-0.035,-0.08,0.01
gpt-4o-mini,json,tail_incentive,200,0.105,0.06,0.15
gpt-4o-mini,prose,tail_incentive,200,-0.02,-0.06,0.02
gpt-4o-mini,prose_minus_json,tail_incentive,200,-0.125,-0.18,-0.07
gpt-4o-mini,json,temporal_pressure,200,0.035,0.015,0.065
gpt-4o-mini,prose,temporal_pressure,200,-0.04,-0.085,0.005
gpt-4o-mini,prose_minus_json,temporal_pressure,200,-0.075,-0.135,-0.024874999999999547
gpt-4o-mini,json,clean,200,0.055,,
gpt-4o-mini,prose,clean,200,0.22,,
gpt-5-mini,json,combined,100,0.29,0.2,0.38
gpt-5-mini,prose,combined,100,0.37,0.28,0.47
gpt-5-mini,prose_minus_json,combined,100,0.08,0.01,0.1502500000000009
gpt-5-mini,json,contract_complexity,100,0.05,0.01,0.1
gpt-5-mini,prose,contract_complexity,100,0.06,0.01,0.11
gpt-5-mini,prose_minus_json,contract_complexity,100,0.01,-0.02,0.04025000000000091
gpt-5-mini,json,selective_disclosure,100,0.02,0.0,0.05
gpt-5-mini,prose,selective_disclosure,100,0.0,-0.03,0.03
gpt-5-mini,prose_minus_json,selective_disclosure,100,-0.02,-0.05,0.0
gpt-5-mini,json,state_misrepresentation,100,0.04,0.01,0.08
gpt-5-mini,prose,state_misrepresentation,100,0.04,0.0,0.09
gpt-5-mini,prose_minus_json,state_misrepresentation,100,0.0,-0.03,0.03
