buyer_id,attack_id,metric,diff,ci_low,ci_high,p_value,n_tasks,reject_holm
claimed_eu,combined,accepted,0.32629558541266795,0.30786948176583495,0.34434740882917453,0.0,2605,True
claimed_eu,contract_complexity,accepted,0.09289827255278311,0.08214971209213053,0.10441458733205375,0.0,2605,True
claimed_eu,selective_disclosure,accepted,0.04836852207293666,0.04030710172744722,0.056813819577735125,0.0,2605,True
claimed_eu,state_misrepresentation,accepted,0.0856046065259117,0.07485604606525911,0.09673704414587332,0.0,2605,True
claimed_eu,tail_incentive,accepted,0.12744721689059502,0.1143953934740883,0.14049904030710172,0.0,2605,True
claimed_eu,temporal_pressure,accepted,0.0,0.0,0.0,1.0,2605,False
conservative,combined,accepted,0.12514395393474087,0.1128598848368522,0.13743761996161213,0.0,2605,True
conservative,contract_complexity,accepted,-0.003838771593090211,-0.006142034548944338,-0.0015355086372360845,0.0026,2605,True
conservative,selective_disclosure,accepted,0.04836852207293666,0.04030710172744722,0.056813819577735125,0.0,2605,True
conservative,state_misrepresentation,accepted,0.0856046065259117,0.07485604606525911,0.09673704414587332,0.0,2605,True
conservative,tail_incentive,accepted,-0.007293666026871401,-0.010748560460652591,-0.004222648752399232,0.0,2605,True
conservative,temporal_pressure,accepted,0.0,0.0,0.0,1.0,2605,False
dro_fixed,combined,accepted,0.33128598848368523,0.3132437619961612,0.34971209213051824,0.0,2605,True
dro_fixed,contract_complexity,accepted,0.09328214971209213,0.08214971209213053,0.10479846449136276,0.0,2605,True
dro_fixed,selective_disclosure,accepted,0.050287907869481764,0.0418426103646833,0.058349328214971206,0.0,2605,True
dro_fixed,state_misrepresentation,accepted,0.09059500959692898,0.07946257197696736,0.10134357005758157,0.0,2605,True
dro_fixed,tail_incentive,accepted,0.1255278310940499,0.1128598848368522,0.13857965451055662,0.0,2605,True
dro_fixed,temporal_pressure,accepted,0.0,0.0,0.0,1.0,2605,False
llm_direct,combined,accepted,0.034912718204488775,-0.02743142144638404,0.09725685785536159,0.2992,401,False
llm_direct,contract_complexity,accepted,-0.09476309226932668,-0.1596009975062344,-0.029925187032418952,0.0056,401,True
llm_direct,selective_disclosure,accepted,0.004987531172069825,-0.057356608478802994,0.06483790523690773,0.9338,401,False
llm_direct,state_misrepresentation,accepted,0.017456359102244388,-0.04488778054862843,0.07481296758104738,0.623,401,False
