reference,other,metric,diff,ci_low,ci_high,p_value,n_tasks,reject_holm
robust_gate,claimed_eu,harmful_accept,-0.07052371812448587,-0.07523992322456813,-0.06591719221277761,0.0,2605,True
robust_gate,conservative,harmful_accept,-0.010309843707156565,-0.011900191938579652,-0.00882780367425283,0.0,2605,True
robust_gate,dro_fixed,harmful_accept,-0.05741705511379215,-0.06147518508363038,-0.05346723334247328,0.0,2605,True
robust_gate,llm_direct,harmful_accept,-0.20342002137513354,-0.22836658354114708,-0.17883861774136084,0.0,401,True
robust_gate,llm_direct_deepseek,harmful_accept,-0.05499999999999999,-0.07928571428571428,-0.031428571428571424,0.0,200,True
robust_gate,llm_direct_devstral,harmful_accept,-0.057142857142857134,-0.07714285714285714,-0.037125000000000255,0.0,200,True
robust_gate,llm_direct_gemma4,harmful_accept,-0.015,-0.027857142857142855,-0.002857142857142857,0.028,200,False
robust_gate,llm_direct_gpt4omini,harmful_accept,-0.09714285714285714,-0.13285714285714284,-0.06285714285714285,0.0,200,True
robust_gate,llm_direct_gpt5mini,harmful_accept,-0.0557142857142857,-0.07214285714285713,-0.041428571428571426,0.0,200,True
robust_gate,llm_direct_gptoss,harmful_accept,-0.07214285714285713,-0.09142857142857143,-0.05428571428571428,0.0,200,True
robust_gate,llm_gate,harmful_accept,-0.02743142144638404,-0.04453152832205201,-0.012468827930174564,0.0006,401,True
robust_gate,llm_gate_urgency_coupled,harmful_accept,-0.025650160313501955,-0.04025650160313502,-0.012468827930174564,0.0004,401,True
robust_gate,llm_safety,harmful_accept,-0.06234413965087282,-0.07837548984681153,-0.04738154613466334,0.0,401,True
robust_gate,llm_safety_deepseek,harmful_accept,0.017857142857142853,0.005,0.03142857142857143,0.0138,200,True
robust_gate,llm_safety_devstral,harmful_accept,0.023571428571428566,0.012142857142857143,0.03642857142857143,0.0,200,True
robust_gate,llm_safety_gemma4,harmful_accept,0.026428571428571423,0.015,0.039285714285714285,0.0,200,True
robust_gate,llm_safety_gpt4omini,harmful_accept,0.01357142857142857,-0.002857142857142858,0.029999999999999995,0.1386,200,False
robust_gate,llm_safety_gpt5mini,harmful_accept,0.02571428571428571,0.014285714285714284,0.03857142857142857,0.0,200,True
robust_gate,llm_safety_gptoss,harmful_accept,-0.033571428571428565,-0.047160714285714285,-0.020714285714285713,0.0,200,True
robust_gate,oracle,harmful_accept,0.026706882369070463,0.02352618590622429,0.029998629010145304,0.0,2605,True
robust_gate,verify_then_decide,harmful_accept,0.023910063065533314,0.020674527008500133,0.0272552783109405,0.0,2605,True
robust_gate,claimed_eu,valid_accept,-0.02061968741431313,-0.024897175760899372,-0.016561557444474913,0.0,2605,True
robust_gate,conservative,valid_accept,-0.019029339182890046,-0.022922950370167262,-0.015245407183986839,0.0,2605,True
robust_gate,dro_fixed,valid_accept,-0.004496846723334246,-0.0071839868384973955,-0.0016451878256100907,0.001,2605,True
robust_gate,llm_direct,valid_accept,0.1553259707873174,0.12967581047381546,0.1813412896330601,0.0,401,True
robust_gate,llm_direct_deepseek,valid_accept,0.2257142857142857,0.18071428571428572,0.27214285714285713,0.0,200,True
robust_gate,llm_direct_devstral,valid_accept,0.24357142857142858,0.19714285714285715,0.29285714285714287,0.0,200,True
robust_gate,llm_direct_gemma4,valid_accept,0.10785714285714285,0.06857142857142857,0.14857142857142858,0.0,200,True
robust_gate,llm_direct_gpt4omini,valid_accept,0.29714285714285715,0.24214285714285716,0.355,0.0,200,True
robust_gate,llm_direct_gpt5mini,valid_accept,-0.021428571428571422,-0.03857142857142857,-0.007142857142857142,0.0028,200,True
robust_gate,llm_direct_gptoss,valid_accept,0.027142857142857153,0.007857142857142866,0.04571428571428572,0.0036,200,True
robust_gate,llm_gate,valid_accept,0.10153188457427857,0.07588172426077663,0.12718204488778054,0.0,401,True
robust_gate,llm_gate_urgency_coupled,valid_accept,0.10758817242607766,0.08265051656572853,0.13252582828642678,0.0,401,True
robust_gate,llm_safety,valid_accept,0.27858924118275735,0.24224260776629852,0.3156394727467047,0.0,401,True
robust_gate,llm_safety_deepseek,valid_accept,0.3564285714285715,0.295,0.4185714285714286,0.0,200,True
robust_gate,llm_safety_devstral,valid_accept,0.36928571428571433,0.30642857142857144,0.43142857142857144,0.0,200,True
robust_gate,llm_safety_gemma4,valid_accept,0.28,0.22426785714285716,0.3364285714285714,0.0,200,True
robust_gate,llm_safety_gpt4omini,valid_accept,0.3785714285714286,0.3142857142857143,0.445,0.0,200,True
robust_gate,llm_safety_gpt5mini,valid_accept,0.25142857142857145,0.19928571428571432,0.30642857142857144,0.0,200,True
robust_gate,llm_safety_gptoss,valid_accept,0.13,0.09571428571428572,0.16714285714285715,0.0,200,True
robust_gate,oracle,valid_accept,-0.02061968741431313,-0.024897175760899372,-0.016561557444474913,0.0,2605,True
robust_gate,verify_then_decide,valid_accept,0.24118453523443928,0.2250054839594187,0.2583493282149712,0.0,2605,True
robust_gate,claimed_eu,regret_norm,-0.007447815707946257,-0.008010675656711269,-0.006923737141655334,0.0,2605,True
robust_gate,conservative,regret_norm,-0.0005830578836797368,-0.0007519122583637236,-0.00042550311023759274,0.0,2605,True
robust_gate,dro_fixed,regret_norm,-0.006306725885363312,-0.0068238789641693175,-0.005818579498143817,0.0,2605,True
robust_gate,llm_direct,regret_norm,-0.05910037348767368,-0.06461188545032687,-0.0538635168844113,0.0,401,True
robust_gate,llm_direct_deepseek,regret_norm,-0.046575446328714284,-0.05521317679613214,-0.03820730895575001,0.0,200,True
robust_gate,llm_direct_devstral,regret_norm,-0.05359170137442858,-0.06263542555897857,-0.044669656791298216,0.0,200,True
robust_gate,llm_direct_gemma4,regret_norm,-0.01335844794492857,-0.018622443069126787,-0.008777146075253574,0.0,200,True
robust_gate,llm_direct_gpt4omini,regret_norm,-0.07216694048192857,-0.08444518147986607,-0.05990353653897502,0.0,200,True
robust_gate,llm_direct_gpt5mini,regret_norm,-0.005302320001357143,-0.006932075381944644,-0.0037764813531785727,0.0,200,True
robust_gate,llm_direct_gptoss,regret_norm,-0.01399286157892857,-0.016944283356369643,-0.011144900610992858,0.0,200,True
robust_gate,llm_gate,regret_norm,-0.013922559644424654,-0.017901262794973283,-0.010151759426640542,0.0,401,True
robust_gate,llm_gate_urgency_coupled,regret_norm,-0.014462979087103672,-0.018170371998539363,-0.010919317626203245,0.0,401,True
robust_gate,llm_safety,regret_norm,-0.055267838684253646,-0.06216919003109014,-0.04871508456307891,0.0,401,True
robust_gate,llm_safety_deepseek,regret_norm,-0.05691238703314285,-0.07058657707816071,-0.04430108200591608,0.0,200,True
robust_gate,llm_safety_devstral,regret_norm,-0.05828119663092856,-0.07214768689305,-0.04519776555484107,0.0,200,True
robust_gate,llm_safety_gemma4,regret_norm,-0.037893515980571425,-0.04920272243322321,-0.027558101800839303,0.0,200,True
robust_gate,llm_safety_gpt4omini,regret_norm,-0.06175003024985714,-0.07652983090573573,-0.048046347094496435,0.0,200,True
robust_gate,llm_safety_gpt5mini,regret_norm,-0.0386781537245,-0.05050202959640714,-0.027786068134758934,0.0,200,True
