study,key1,key2,key3,value
curvature,0.5,claimed_eu,combined,0.37428023032629554
curvature,0.5,claimed_eu,contract_complexity,0.11708253358925144
curvature,0.5,claimed_eu,selective_disclosure,0.06257197696737045
curvature,0.5,claimed_eu,state_misrepresentation,0.07946257197696738
curvature,0.5,claimed_eu,tail_incentive,0.1600767754318618
curvature,0.5,claimed_eu,temporal_pressure,0.0
curvature,0.5,conservative,combined,0.13205374280230328
curvature,0.5,conservative,contract_complexity,-0.00038387715930902113
curvature,0.5,conservative,selective_disclosure,0.06257197696737045
curvature,0.5,conservative,state_misrepresentation,0.07946257197696738
curvature,0.5,conservative,tail_incentive,-0.00038387715930902113
curvature,0.5,conservative,temporal_pressure,0.0
curvature,0.5,dro_fixed,combined,0.3420345489443378
curvature,0.5,dro_fixed,contract_complexity,0.07792706333973129
curvature,0.5,dro_fixed,selective_disclosure,0.04760076775431862
curvature,0.5,dro_fixed,state_misrepresentation,0.034932821497120924
curvature,0.5,dro_fixed,tail_incentive,0.11401151631477927
curvature,0.5,dro_fixed,temporal_pressure,0.0
curvature,0.5,oracle,combined,0.0
curvature,0.5,oracle,contract_complexity,0.0
curvature,0.5,oracle,selective_disclosure,0.0
curvature,0.5,oracle,state_misrepresentation,0.0
curvature,0.5,oracle,tail_incentive,0.0
curvature,0.5,oracle,temporal_pressure,0.0
curvature,0.5,robust_gate,combined,0.04491362763915547
curvature,0.5,robust_gate,contract_complexity,0.0
curvature,0.5,robust_gate,selective_disclosure,0.05259117082533589
curvature,0.5,robust_gate,state_misrepresentation,0.04798464491362764
curvature,0.5,robust_gate,tail_incentive,0.0
curvature,0.5,robust_gate,temporal_pressure,0.0
curvature,0.5,verify_then_decide,combined,0.009213051823416507
curvature,0.5,verify_then_decide,contract_complexity,-0.00038387715930902113
curvature,0.5,verify_then_decide,selective_disclosure,0.0
curvature,0.5,verify_then_decide,state_misrepresentation,0.012284069097888676
curvature,0.5,verify_then_decide,tail_incentive,-0.00038387715930902113
curvature,0.5,verify_then_decide,temporal_pressure,0.0
curvature,1.0,claimed_eu,combined,0.32629558541266795
curvature,1.0,claimed_eu,contract_complexity,0.09289827255278311
curvature,1.0,claimed_eu,selective_disclosure,0.04836852207293666
curvature,1.0,claimed_eu,state_misrepresentation,0.0856046065259117
curvature,1.0,claimed_eu,tail_incentive,0.12744721689059502
curvature,1.0,claimed_eu,temporal_pressure,0.0
curvature,1.0,conservative,combined,0.12514395393474087
curvature,1.0,conservative,contract_complexity,0.0
curvature,1.0,conservative,selective_disclosure,0.04836852207293666
curvature,1.0,conservative,state_misrepresentation,0.0856046065259117
curvature,1.0,conservative,tail_incentive,0.0
curvature,1.0,conservative,temporal_pressure,0.0
curvature,1.0,dro_fixed,combined,0.3074856046065259
curvature,1.0,dro_fixed,contract_complexity,0.06948176583493282
curvature,1.0,dro_fixed,selective_disclosure,0.04337811900191939
curvature,1.0,dro_fixed,state_misrepresentation,0.06679462571976967
curvature,1.0,dro_fixed,tail_incentive,0.1017274472168906
curvature,1.0,dro_fixed,temporal_pressure,0.0
curvature,1.0,oracle,combined,0.0
curvature,1.0,oracle,contract_complexity,0.0
curvature,1.0,oracle,selective_disclosure,0.0
curvature,1.0,oracle,state_misrepresentation,0.0
curvature,1.0,oracle,tail_incentive,0.0
curvature,1.0,oracle,temporal_pressure,0.0
curvature,1.0,robust_gate,combined,0.06602687140115163
curvature,1.0,robust_gate,contract_complexity,0.0
curvature,1.0,robust_gate,selective_disclosure,0.04644913627639156
curvature,1.0,robust_gate,state_misrepresentation,0.0744721689059501
curvature,1.0,robust_gate,tail_incentive,0.0
curvature,1.0,robust_gate,temporal_pressure,0.0
curvature,1.0,verify_then_decide,combined,0.009980806142034549
curvature,1.0,verify_then_decide,contract_complexity,0.0
curvature,1.0,verify_then_decide,selective_disclosure,0.0
curvature,1.0,verify_then_decide,state_misrepresentation,0.009596928982725527
curvature,1.0,verify_then_decide,tail_incentive,0.0
curvature,1.0,verify_then_decide,temporal_pressure,0.0
curvature,2.0,claimed_eu,combined,0.3216890595009597
curvature,2.0,claimed_eu,contract_complexity,0.09788867562380038
curvature,2.0,claimed_eu,selective_disclosure,0.04376199616122841
curvature,2.0,claimed_eu,state_misrepresentation,0.08291746641074856
curvature,2.0,claimed_eu,tail_incentive,0.14049904030710172
curvature,2.0,claimed_eu,temporal_pressure,0.0
curvature,2.0,conservative,combined,0.11209213051823416
curvature,2.0,conservative,contract_complexity,0.0
curvature,2.0,conservative,selective_disclosure,0.04376199616122841
curvature,2.0,conservative,state_misrepresentation,0.08291746641074856
curvature,2.0,conservative,tail_incentive,0.0
curvature,2.0,conservative,temporal_pressure,0.0
curvature,2.0,dro_fixed,combined,0.30441458733205373
curvature,2.0,dro_fixed,contract_complexity,0.0763915547024952
curvature,2.0,dro_fixed,selective_disclosure,0.03915547024952015
curvature,2.0,dro_fixed,state_misrepresentation,0.059884836852207295
curvature,2.0,dro_fixed,tail_incentive,0.11708253358925144
curvature,2.0,dro_fixed,temporal_pressure,0.0
curvature,2.0,oracle,combined,0.0
curvature,2.0,oracle,contract_complexity,0.0
curvature,2.0,oracle,selective_disclosure,0.0
curvature,2.0,oracle,state_misrepresentation,0.0
curvature,2.0,oracle,tail_incentive,0.0
curvature,2.0,oracle,temporal_pressure,0.0
curvature,2.0,robust_gate,combined,0.05758157389635317
curvature,2.0,robust_gate,contract_complexity,0.0
curvature,2.0,robust_gate,selective_disclosure,0.0418426103646833
curvature,2.0,robust_gate,state_misrepresentation,0.06948176583493282
curvature,2.0,robust_gate,tail_incentive,0.0
curvature,2.0,robust_gate,temporal_pressure,0.0
curvature,2.0,verify_then_decide,combined,0.009213051823416507
curvature,2.0,verify_then_decide,contract_complexity,0.0
curvature,2.0,verify_then_decide,selective_disclosure,0.0
curvature,2.0,verify_then_decide,state_misrepresentation,0.011132437619961612
curvature,2.0,verify_then_decide,tail_incentive,0.0
curvature,2.0,verify_then_decide,temporal_pressure,0.0
improvement,claimed_eu,genuine_discount_large,response,0.2579654510556622
improvement,claimed_eu,genuine_discount_small,response,0.09596928982725528
improvement,conservative,genuine_discount_large,response,0.2579654510556622
improvement,conservative,genuine_discount_small,response,0.09596928982725528
improvement,dro_fixed,genuine_discount_large,response,0.25950095969289827
improvement,dro_fixed,genuine_discount_small,response,0.09443378119001919
improvement,oracle,genuine_discount_large,response,0.2579654510556622
improvement,oracle,genuine_discount_small,response,0.09596928982725528
improvement,robust_gate,genuine_discount_large,response,0.25873320537428024
improvement,robust_gate,genuine_discount_small,response,0.09404990403071017
ablation,CraigslistBargain,- contract canonicalization,HAR,0.0800109679188374
ablation,CraigslistBargain,- state uncertainty,HAR,0.027035919934192486
ablation,CraigslistBargain,- urgency decoupling,HAR,0.02670688236907047
ablation,CraigslistBargain,evidence uninformative,HAR,0.04842336166712366
ablation,CraigslistBargain,fixed epsilon,HAR,0.028845626542363587
ablation,CraigslistBargain,full method,HAR,0.02670688236907047
ablation,CraigslistBargain,random-matched,HAR,0.0291198245132986
boundary,claimed_eu,nested_addition,accepted,-0.01996161228406912
boundary,claimed_eu,incomparable_swap,accepted,0.0015355086372360605
boundary,conservative,nested_addition,accepted,-0.04760076775431865
boundary,conservative,incomparable_swap,accepted,0.022648752399232197
boundary,oracle,nested_addition,accepted,-0.020345489443378106
boundary,oracle,incomparable_swap,accepted,0.0015355086372360605
