environment,alpha,certified_on,certified,offset,risk_mixture,risk_best_response,risk_worst_case,valid_best_response,violated,inflation,inflation_lo,inflation_hi,price,price_lo,price_hi
CraigslistBargain,0.15,mixture,True,0.0,0.01678091582122292,0.056813819577735125,0.08099808061420345,0.4107485604606526,False,,,,,,
CraigslistBargain,0.15,worst-case,True,0.0,0.01678091582122292,0.056813819577735125,0.08099808061420345,0.4107485604606526,False,3.3856209150326806,3.075,3.721882854365249,0.0,0.0,0.0
CraigslistBargain,0.1,mixture,True,0.0,0.01678091582122292,0.056813819577735125,0.08099808061420345,0.4107485604606526,False,,,,,,
CraigslistBargain,0.1,worst-case,True,0.0,0.01678091582122292,0.056813819577735125,0.08099808061420345,0.4107485604606526,False,3.3856209150326806,3.075,3.721882854365249,0.0,0.0,0.0
CraigslistBargain,0.05,mixture,True,0.0,0.01678091582122292,0.056813819577735125,0.08099808061420345,0.4107485604606526,True,,,,,,
CraigslistBargain,0.05,worst-case,True,0.1,0.0044420071291472445,0.016122840690978888,0.023416506717850286,0.3216890595009597,False,3.3856209150326806,3.075,3.721882854365249,-0.0890595009596929,-0.09980806142034548,-0.0783109404990403
CraigslistBargain,0.02,mixture,False,,,,,,,,,,,,
CraigslistBargain,0.02,worst-case,False,,,,,,,,,,,,
AmazonHistoryPrice,0.15,mixture,True,0.0,0.008639308855291575,0.03023758099352052,0.0367170626349892,0.6911447084233261,False,,,,,,
AmazonHistoryPrice,0.15,worst-case,True,0.0,0.008639308855291575,0.03023758099352052,0.0367170626349892,0.6911447084233261,False,3.5000000000000004,2.512820512820513,4.760000000000001,0.0,0.0,0.0
AmazonHistoryPrice,0.1,mixture,True,0.0,0.008639308855291575,0.03023758099352052,0.0367170626349892,0.6911447084233261,False,,,,,,
AmazonHistoryPrice,0.1,worst-case,True,0.06,0.0046282011724776305,0.01511879049676026,0.02159827213822894,0.6565874730021598,False,3.5000000000000004,2.512820512820513,4.760000000000001,-0.03455723542116629,-0.05183585313174946,-0.019438444924406047
AmazonHistoryPrice,0.05,mixture,False,,,,,,,,,,,,
AmazonHistoryPrice,0.05,worst-case,False,,,,,,,,,,,,
AmazonHistoryPrice,0.02,mixture,False,,,,,,,,,,,,
AmazonHistoryPrice,0.02,worst-case,False,,,,,,,,,,,,
DealOrNoDeal,0.15,mixture,True,0.0,0.04509033778476041,0.1249018067556952,0.12568735271013354,0.549096622152396,False,,,,,,
DealOrNoDeal,0.15,worst-case,True,0.01,0.029222309505106053,0.06834249803613511,0.06912804399057344,0.3809897879025923,False,2.7700348432055746,2.6315789473684212,2.909972555767685,-0.16810683424980366,-0.19010212097407697,-0.1476826394344069
DealOrNoDeal,0.1,mixture,True,0.0,0.04509033778476041,0.1249018067556952,0.12568735271013354,0.549096622152396,True,,,,,,
DealOrNoDeal,0.1,worst-case,True,0.11,0.01382560879811469,0.03534956794972506,0.03613511390416339,0.30007855459544386,False,2.7700348432055746,2.6315789473684212,2.909972555767685,-0.2490180675569521,-0.27336999214454044,-0.22388059701492538
DealOrNoDeal,0.05,mixture,True,0.21,0.0017282010997643363,0.003927729772191673,0.004713275726630008,0.06598586017282011,False,,,,,,
DealOrNoDeal,0.05,worst-case,True,0.285,0.0014139827179890025,0.003927729772191673,0.003927729772191673,0.05734485467399843,False,2.2727272727272725,1.6666666666666665,2.5,-0.008641005498821686,-0.014139827179890024,-0.003927729772191673
DealOrNoDeal,0.02,mixture,False,,,,,,,,,,,,
DealOrNoDeal,0.02,worst-case,False,,,,,,,,,,,,
